"","Code","Company","Exchange","Market Cap","P/E","Price","Change","Volume"
"1","600000.SH","浦发银行","SHH",35105088.1548,6.2784,11.96,"-0.25%",177972.25
"2","600016.SH","民生银行","SHH",26969969.7972,5.3589,6.16,"0.16%",361885.92
"3","600019.SH","宝钢股份","SHH",12250953.2063,5.6809,5.5,"-1.79%",584378
"4","600028.SH","中国石化","SHH",60656676.0326,9.6145,5.01,"-0.2%",296906.53
"5","600029.SH","南方航空","SHH",8145402.3979,27.3061,6.64,"-0.15%",157748.61
"6","600030.SH","中信证券","SHH",26063469.9684,27.7569,21.51,"0.37%",320645.63
"7","600031.SH","三一重工","SHH",12503468.7832,20.4429,14.84,"-0.34%",298845.12
"8","600036.SH","招商银行","SHH",92380294.4365,11.4673,36.63,"-0.05%",208520.93
"9","600048.SH","保利地产","SHH",17180780.3309,9.0886,14.4,"-1.77%",416358.09
"10","600050.SH","中国联通","SHH",17782313.3587,43.5759,5.73,"-0.87%",654422.72
"11","600104.SH","上汽集团","SHH",26918694.985,7.4755,23.04,"-1.33%",117925.61
"12","600196.SH","复星医药","SHH",6578960.565,24.2952,25.67,"-1.04%",73245.77
"13","600276.SH","恒瑞医药","SHH",39663797.7187,97.5593,89.68,"0.03%",94543.6
"14","600309.SH","万华化学","SHH",15510348.3324,14.6181,49.4,"1.23%",148817.18
"15","600340.SH","华夏幸福","SHH",8414258.5219,7.1636,27.92,"-1.38%",72785.05
"16","600519.SH","贵州茅台","SHH",147703737.324,41.957,1175.8,"-1.19%",28844.99
"17","600585.SH","海螺水泥","SHH",24901422.8187,8.3522,46.99,"0.66%",155147.76
"18","600690.SH","海尔智家","SHH",11087528.7272,14.9021,17.41,"0.52%",290104.44
"19","600703.SH","三安光电","SHH",6602969.9584,23.3307,16.19,"-1.34%",739280.83
"20","600837.SH","海通证券","SHH",15780332.4,30.2822,13.72,"0.07%",210826.65
"21","600887.SH","伊利股份","SHH",17925547.8175,27.8358,29.4,"-0.27%",248770.88
"22","601066.SH","中信建投","SHH",17089671.0069,55.3519,22.35,"-0.75%",179405.02
"23","601088.SH","中国神华","SHH",34289705.6644,7.8167,17.24,"-0.92%",285584.95
"24","601111.SH","中国国航","SHH",12404192.168,16.9079,8.54,"-0.58%",232320.13
"25","601138.SH","工业富联","SHH",32522214.6506,19.2413,16.38,"-0.97%",243921.97
"26","601166.SH","兴业银行","SHH",39408639.8546,6.5009,18.97,"-0.89%",346988.41
"27","601186.SH","中国铁建","SHH",13267212.0455,7.3973,9.77,"0.62%",539224.66
"28","601211.SH","国泰君安","SHH",14813917.6171,22.0836,16.63,"0.18%",96139.88
"29","601229.SH","上海银行","SHH",13055799.8753,7.2395,9.19,"-0.97%",212651.01
"30","601288.SH","农业银行","SHH",127393824.3298,6.2823,3.64,"-0.55%",1379384.67
"31","601318.SH","中国平安","SHH",154285237.5004,14.3649,84.4,"-0.6%",358095.13
"32","601319.SH","中国人保","SHH",29187833.7848,21.701,6.6,"-2.08%",722828.72
"33","601328.SH","交通银行","SHH",41141550.5613,5.5876,5.54,"-0.18%",433235.22
"34","601336.SH","新华保险","SHH",13878862.8234,17.5194,44.49,"-1.09%",101283.5
"35","601390.SH","中国中铁","SHH",14030000.6206,8.1579,5.71,"0%",347195.48
"36","601398.SH","工商银行","SHH",208141254.14,6.9922,5.84,"-0.68%",754976.65
"37","601601.SH","中国太保","SHH",31200466,17.3153,34.43,"-0.72%",90543.09
"38","601628.SH","中国人寿","SHH",94828085.275,83.219,33.55,"-0.92%",67046.08
"39","601668.SH","中国建筑","SHH",21617449.3012,5.6529,5.15,"0.19%",1147616.81
"40","601688.SH","华泰证券","SHH",15403075.05,30.6058,16.97,"0.18%",256784.29
"41","601766.SH","中国中车","SHH",20089204.8616,17.7701,7,"-0.28%",232188.63
"42","601800.SH","中国交建","SHH",14735183.9722,7.4872,9.11,"1.9%",747437.39
"43","601818.SH","光大银行","SHH",21940535.2689,6.5185,4.18,"-0.48%",422482.79
"44","601857.SH","中国石油","SHH",102857789.5337,19.5603,5.62,"-0.71%",373541.54
"45","601888.SH","中国国旅","SHH",16225071.7706,52.4278,83.1,"-1.15%",50992.45
"46","601939.SH","建设银行","SHH",178507837.925,7.0098,7.14,"-1.11%",633023.98
"47","601988.SH","中国银行","SHH",107451543.803,5.9667,3.65,"-0.27%",527415.32
"48","601989.SH","中国重工","SHH",12149170.212,180.5888,5.31,"-0.19%",207083
"49","603259.SH","药明康德","SHH",14850136.0292,65.6934,90.65,"0.4%",64569.44
"50","603993.SH","洛阳钼业","SHH",7732528.1287,16.6808,3.58,"-1.38%",1061409.17
