"","exchange","cal_date","is_open"
"8","SSE","20191008",1
"9","SSE","20191009",1
"10","SSE","20191010",1
"11","SSE","20191011",1
"14","SSE","20191014",1
"15","SSE","20191015",1
"16","SSE","20191016",1
"17","SSE","20191017",1
"18","SSE","20191018",1
"21","SSE","20191021",1
"22","SSE","20191022",1
"23","SSE","20191023",1
"24","SSE","20191024",1
"25","SSE","20191025",1
"28","SSE","20191028",1
"29","SSE","20191029",1
"30","SSE","20191030",1
"31","SSE","20191031",1
"32","SSE","20191101",1
"35","SSE","20191104",1
"36","SSE","20191105",1
"37","SSE","20191106",1
"38","SSE","20191107",1
"39","SSE","20191108",1
"42","SSE","20191111",1
"43","SSE","20191112",1
"44","SSE","20191113",1
"45","SSE","20191114",1
"46","SSE","20191115",1
"49","SSE","20191118",1
"50","SSE","20191119",1
"51","SSE","20191120",1
"52","SSE","20191121",1
"53","SSE","20191122",1
"56","SSE","20191125",1
"57","SSE","20191126",1
"58","SSE","20191127",1
"59","SSE","20191128",1
"60","SSE","20191129",1
